System_ID,Battery_Voltage,RTC_Drift_sec_per_day,Boot_Errors_Count,CMOS_Warning_Flag,Reset_BIOS_Flag,Power_Cycle_Count,System_Age_Years,Ambient_Temperature_C,Failure_Label,Failure_Mode,Failure_Flag
SYS-0000,2.83,8,1,0,0,2695,8.3,26.8,0,0,0
SYS-0001,3.11,98,2,1,0,1804,3.2,26.4,1,4,1
SYS-0002,2.94,83,2,0,0,817,9.9,40.7,0,0,0
SYS-0003,3.3,73,5,1,0,2414,2.7810343645191598,30.9,1,4,1
SYS-0004,3.28,47,1,0,0,1406,1.8,28.3,0,0,0
SYS-0005,2.77,126,0,0,0,388,2.5,37.8,0,0,0
SYS-0006,2.96,46,1,0,1,2459,4.6,32.0,0,0,0
SYS-0007,2.72,94,1,0,0,1683,9.4,32.3,0,0,0
SYS-0008,2.62,136,2,0,0,1298,3.3,29.1,1,1,1
SYS-0009,3.06,5,3,0,0,1343,5.4,28.3,0,0,0
SYS-0010,3.07,38,2,0,1,225,1.6,25.5,0,0,0
SYS-0011,2.87,39,5,0,1,2170,0.3,30.4,1,4,1
SYS-0012,2.61,27,0,0,1,845,2.1,42.5,1,1,1
SYS-0013,3.19,114,2,0,0,1388,5.3,34.4,0,0,0
SYS-0014,2.81,53,1,0,0,1898,8.3,35.9,1,1,1
SYS-0015,3.03,44,0,0,0,1742,8.0,33.7,0,0,0
SYS-0016,3.26,132,10,1,1,966,6.0,27.0,1,4,1
SYS-0017,3.03,49,1,0,0,363,8.3,34.2,0,0,0
SYS-0018,3.14,52,1,1,0,1771,4.1,34.6,0,0,0
SYS-0019,2.6,112,2,0,0,603,2.8687927940702185,28.2,1,1,1
SYS-0020,2.78,71,2,0,1,906,8.2,25.7,0,0,0
SYS-0021,2.94,57,1,0,0,450,5.0,36.2,0,0,0
SYS-0022,3.07,73,1,0,0,2871,3.7,26.0,0,0,0
SYS-0023,2.66,68,1,0,0,968,6.1,30.8,1,1,1
SYS-0024,3.13,19,1,0,0,2552,7.9,33.5,0,0,0
SYS-0025,3.17,66,0,0,0,1828,1.7,34.9,0,0,0
SYS-0026,3.13,79,0,0,0,2468,4.0,33.2,0,0,0
SYS-0027,2.82,28,1,1,0,443,5.1,29.3,0,0,0
SYS-0028,2.9,47,0,0,0,2774,4.4,29.5,0,0,0
SYS-0029,2.58,63,1,0,0,377,7.7,30.8,1,1,1
SYS-0030,2.56,84,2,0,0,970,5.2,36.7,1,1,1
SYS-0031,3.3,24,0,0,0,554,4.5,29.0,0,0,0
SYS-0032,2.93,130,3,0,0,1075,8.8,34.4,1,1,1
SYS-0033,2.86,121,0,0,0,979,5.0,41.4,0,0,0
SYS-0034,2.78,18,1,0,0,1824,8.7,26.4,0,0,0
SYS-0035,3.22,17,1,0,0,756,4.3,41.6,0,0,0
SYS-0036,2.77,35,1,0,0,1938,7.4,27.8,0,0,0
SYS-0037,3.3,39,0,0,0,2226,7.0,34.6,1,1,1
SYS-0038,2.87,12,3,0,0,335,3.1,31.3,1,4,1
SYS-0039,3.05,58,4,1,0,709,0.7385027037137569,31.7,1,4,1
SYS-0040,3.0,60,2,0,0,1066,7.6,33.4,0,0,0
SYS-0041,3.3,22,1,0,0,234,1.1,32.0,0,0,0
SYS-0042,2.67,52,0,0,0,636,6.188286679226856,33.1,1,1,1
SYS-0043,3.15,87,0,0,0,1524,3.6,36.7,0,0,0
SYS-0044,3.07,45,0,0,0,1459,4.2,30.7,0,0,0
SYS-0045,2.89,80,6,0,0,2217,2.1192790718728203,43.0,1,4,1
SYS-0046,2.98,108,2,0,0,1263,2.5,34.7,0,0,0
SYS-0047,2.97,68,1,0,0,2769,5.1,35.3,0,0,0
SYS-0048,2.75,10,0,0,0,1650,10.0,23.8,0,0,0
SYS-0049,2.67,49,0,0,0,2566,9.2,28.2,1,1,1
SYS-0050,2.83,94,1,0,0,2732,1.5,27.6,0,0,0
SYS-0051,2.93,50,2,0,0,490,1.0,28.0,0,0,0
SYS-0052,3.08,56,6,1,0,1928,2.0086320865777303,29.3,1,4,1
SYS-0053,3.03,17,1,0,1,733,9.1,29.8,0,0,0
SYS-0054,3.04,91,3,0,0,2221,3.5,35.9,1,4,1
SYS-0055,3.17,50,1,0,0,229,7.0,34.9,0,0,0
SYS-0056,2.65,26,2,0,1,1302,3.0,37.1,1,4,1
SYS-0057,2.2,92,0,0,0,327,8.5,23.9,1,1,1
SYS-0058,3.08,107,9,0,0,752,0.3,34.8,1,4,1
SYS-0059,2.82,6,2,0,0,2353,5.8,35.2,0,0,0
